name,price,num_reviews,per_cnt_price,url
Reusable Face Cover (Pack of 3),16.04,743,($5.35/Item),https://amazon.com//Reusable-Face-Cover-Pack-3/dp/B086ZMN1N3/ref=sr_1_51?dchild=1&keywords=Masks&qid=1594605010&sr=8-51
"Tart Collections Reversible and Adjustable Face Mask, Comfortable, Soft Elastic Ear Loops, Washable and Reusable, Unisex, 95% Poly / 5% Spandex, Black/White Dot",9.99,6,-,https://amazon.com//Tart-Collections-Reversible-Adjustable-Comfortable/dp/B08972D7W9/ref=sr_1_52?dchild=1&keywords=Masks&qid=1594605010&sr=8-52
Fashion Mouth Protection Unisex Washable and Reusable Cotton Warm Face Protection with Adjustable Bridge Design (3-Pack Black),15.69,"1,549",($5.23/Count),https://amazon.com//Fashion-Protection-Washable-Reusable-Adjustable/dp/B0855PDTYG/ref=sr_1_53?dchild=1&keywords=Masks&qid=1594605010&sr=8-53
"Dust mask with Filter,Sports Face Mask, 4 Filters and 2 Valves Included,Men's and Women's Universal Masks,Suitable for Woodworking, Outdoor Activities",25.99,19,($30.94/100 g),https://amazon.com//Included-Universal-Suitable-Woodworking-Activities/dp/B08738MMY9/ref=sr_1_54?dchild=1&keywords=Masks&qid=1594605010&sr=8-54
"Disposable Face Masks, 3 Layers Breathable and Comfortable Elastic Ear Loop, Pack of 50 PCS",29.99,213,($0.60/Count),https://amazon.com//Disposable-Layers-Breathable-Comfortable-Elastic/dp/B088M6YFDJ/ref=sr_1_55?dchild=1&keywords=Masks&qid=1594605010&sr=8-55
"5 Pcs Unisex Black Dust Cotton, Washable, Reusable Cotton Fabric",19.98,81,($4.00/Count),https://amazon.com//Unisex-Cotton-Washable-Reusable-Fabric/dp/B0882S61Y9/ref=sr_1_56?dchild=1&keywords=Masks&qid=1594605010&sr=8-56
"Pure Cotton Reusable Face Mask - Protective Fabric Face Cover 3 Piece Set, Washable & Breathable Mouth Mask (Black,White,Blue)",11.99,56,($4.00/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A1024196200P6GEZBRL6W&url=%2FPure-Cotton-Reusable-Face-Mask%2Fdp%2FB088THXCXJ%2Fref%3Dsr_1_57_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-57-spons%26psc%3D1&qualifier=1594605010&id=8087021197311779&widgetName=sp_btf
"3 PCS Washable Reusable 2 Layers Breathable Face Madks Facial M_ask C-over, BGB",22.99,7,-,https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02905611ZYA5V0JFK34E&url=%2FWashable-Reusable-Layers-Breathable-Facial%2Fdp%2FB089GQT2GN%2Fref%3Dsr_1_58_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-58-spons%26psc%3D1&qualifier=1594605010&id=8087021197311779&widgetName=sp_btf
3-Layer Protection Face Masks(50 Pieces/Box),29.99,3,-,https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A10118331EGHUWQO7S1JK&url=%2F3-Layer-Protection-Face-Masks-Pieces%2Fdp%2FB089YVFRXW%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-59-spons%26psc%3D1&qualifier=1594605010&id=8087021197311779&widgetName=sp_btf
"Face Masks, 50 Pack, Comfortable to Wear",29.98,13,($0.60/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07924297P25AD40OZ7C&url=%2FFace-Masks-Pack-Comfortable-Wear%2Fdp%2FB0894R6TB6%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-60-spons%26psc%3D1&qualifier=1594605010&id=8087021197311779&widgetName=sp_btf
"Face Masks, Pack of 50",24.99,4,-,https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A033729131FVC1QTU93D8&url=%2FFace-Masks-Pack-of-50%2Fdp%2FB089YW82BX%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-49-spons%26psc%3D1&qualifier=1594605015&id=8452762377862746&widgetName=sp_atf_next
"Designer Cotton Reusable Face Mask - Protective Fabric Face Cover Piece Set, Washable & Breathable Mouth Mask (4)",22.99,0,($5.75/Item),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01977693TMZCVWOA9CZJ&url=%2FDesigner-Cotton-Reusable-Face-Mask%2Fdp%2FB08BJFZMPP%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594605010%26sr%3D8-50-spons%26psc%3D1&qualifier=1594605015&id=8452762377862746&widgetName=sp_atf_next
