name,price,num_reviews,per_cnt_price,url,timestamp
Fashion Cute Heart Face Protection - Unisex Cotton Dustproof Mouth Protection - Reusable Warm Windproof for Outdoor Activities,12.99,"1,348",($6.50/Item),https://amazon.com//Fashion-Cute-Heart-Face-Protection/dp/B085BM92CD/ref=sr_1_53?dchild=1&keywords=Masks&qid=1594841003&sr=8-53,2020-07-15 15:23:27
Wecolor 100 Pack 3 Ply Disposable Face Masks (Blue),42.99,"1,978",($42.99/Count),https://amazon.com//Disposable-Hypoallergenic-Breathability-Comfort-Great-Allergies/dp/B078718WVB/ref=sr_1_54?dchild=1&keywords=Masks&qid=1594841003&sr=8-54,2020-07-15 15:23:27
The Case Against Masks: Ten Reasons Why Mask Use Should be Limited,3.99,by ,Other format: ,https://amazon.com//Case-Against-Masks-Reasons-Limited-ebook/dp/B08CVSKX4L/ref=sr_1_55?dchild=1&keywords=Masks&qid=1594841003&sr=8-55,2020-07-15 15:23:27
"5 Pcs Unisex Black Dust Cotton, Washable, Reusable Cotton Fabric",19.21,96,($3.84/Count),https://amazon.com//Unisex-Cotton-Washable-Reusable-Fabric/dp/B0882S61Y9/ref=sr_1_56?dchild=1&keywords=Masks&qid=1594841003&sr=8-56,2020-07-15 15:23:27
"Universal 4521 Cloth Face Masks – Reusable Nose & Mouth Mask, 100% Cotton, 2 Layer, Washable Facemask, Teens & Adults – Protects from Dust, Pollen, Pet Dander & Other Irritants (4 Masks (1 Pkg))",16.99,"1,341",($4.25/Item),https://amazon.com//Universal-4521-Anti-Flu-Masks/dp/B07VGKQ1PV/ref=sr_1_57?dchild=1&keywords=Masks&qid=1594841003&sr=8-57,2020-07-15 15:23:27
"3 Pack Face Covering, Mouth Covering Unisex Black Dust Cotton, Washable, Reusable Cotton Fabric Dust Covering",14.99,275,-,https://amazon.com//Covering-Unisex-Cotton-Washable-Reusable/dp/B089148BWQ/ref=sr_1_58?dchild=1&keywords=Masks&qid=1594841003&sr=8-58,2020-07-15 15:23:27
"Face Masks,50 Pack/Box",29.99,1,-,https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08548033QYZLU1QQ7N55&url=%2FFace-Masks-50-Pack-Box%2Fdp%2FB089YVT3ZZ%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-59-spons%26psc%3D1&qualifier=1594841003&id=8118751811044430&widgetName=sp_btf,2020-07-15 15:23:27
"Face Mask Disposable Masks 50 pieces With 10 Bonus Wipes - Breathable, 3-Ply, Non-Medical bulk Masks (50 pack)",17.99,0,($0.36/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06383362SCEJ5WQRD7N4&url=%2FDisposable-Masks-pieces-Bonus-Wipes%2Fdp%2FB08C6B771X%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-60-spons%26psc%3D1&qualifier=1594841003&id=8118751811044430&widgetName=sp_btf,2020-07-15 15:23:27
"10PC Cotton Anti-dust Mouth Face_mask_Protect Cover Bandana Balaclavas, 2-layer Unisex Reusable Fashion Washable Cover",29.99,8,($29.99/Count),https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A068673314IE3X8R5F7ED&url=%2FAnti-dust-Face_mask_Protect-Balaclavas-Reusable-Washable%2Fdp%2FB08BHZ5BPJ%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-49-spons%26psc%3D1&qualifier=1594841009&id=369805706040215&widgetName=sp_atf_next,2020-07-15 15:23:30
INTO THE AM Seamless Face Cover Mouth Mask Scarf Bandanas Neck Gaiter - Dust & UV Sun-Protection for Festivals and Outdoors,12.95,458,-,https://amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A07970433MP35OZZ5IWT2&url=%2FINTO-AM-Paint-Splatter-Seamless%2Fdp%2FB07B69CFJF%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3DMasks%26qid%3D1594841003%26sr%3D8-50-spons%26psc%3D1&qualifier=1594841009&id=369805706040215&widgetName=sp_atf_next,2020-07-15 15:23:30
